name,surface,aces,winner,total_pts
Janko Tipsarevic,Hard,12.0,True,104.0
Gael Monfils,Hard,11.0,True,92.0
Andy Murray,Hard,6.0,True,94.0
Radek Stepanek,Grass,10.0,True,99.0
Roger Federer,Hard,12.0,False,166.0
Tommy Robredo,Hard,0.0,False,92.0
Rafael Nadal,Hard,5.0,True,79.0
Stan Wawrinka,Clay,16.0,True,194.0
Ivo Karlovic,Clay,10.0,True,114.0
John Isner,Grass,22.0,True,112.0
Janko Tipsarevic,Hard,6.0,False,105.0
Richard Gasquet,Hard,3.0,False,73.0
Marcos Baghdatis,Hard,16.0,False,149.0
Milos Raonic,Hard,21.0,False,107.0
Janko Tipsarevic,Clay,3.0,False,130.0
Marin Cilic,Clay,13.0,False,177.0
Tommy Robredo,Clay,1.0,False,82.0
Andreas Seppi,Hard,6.0,False,112.0
Roger Federer,Hard,6.0,False,135.0
Marcos Baghdatis,Grass,5.0,False,59.0
Gilles Simon,Grass,3.0,False,114.0
Andy Murray,Grass,5.0,False,73.0
Rafael Nadal,Hard,8.0,True,186.0
Roger Federer,Hard,13.0,True,127.0
Andy Murray,Hard,12.0,True,154.0
Rafael Nadal,Hard,3.0,True,147.0
Julien Benneteau,Hard,6.0,True,100.0
Nicolas Almagro,Hard,9.0,True,163.0
Stan Wawrinka,Hard,8.0,True,91.0
Stan Wawrinka,Clay,14.0,True,138.0
Ivo Karlovic,Clay,22.0,True,107.0
Novak Djokovic,Clay,2.0,True,94.0
Richard Gasquet,Clay,10.0,True,147.0
Stan Wawrinka,Hard,6.0,True,107.0
Andy Murray,Hard,9.0,True,94.0
Gael Monfils,Hard,14.0,True,113.0
Gael Monfils,Hard,2.0,True,122.0
Stan Wawrinka,Grass,9.0,True,133.0
Roger Federer,Grass,8.0,True,95.0
Richard Gasquet,Grass,3.0,True,92.0
Novak Djokovic,Grass,17.0,True,140.0
Marcos Baghdatis,Grass,9.0,True,67.0
Jo Wilfried Tsonga,Grass,19.0,True,174.0
Andreas Seppi,Hard,19.0,False,139.0
Ivo Karlovic,Hard,6.0,False,47.0
Julien Benneteau,Grass,13.0,False,86.0
Rafael Nadal,Hard,11.0,True,88.0
Juan Martin Del Potro,Hard,14.0,True,99.0
Sam Querrey,Clay,11.0,True,100.0
Fabio Fognini,Clay,3.0,True,125.0
Roger Federer,Hard,17.0,True,133.0
John Isner,Hard,35.0,True,148.0
Fabio Fognini,Grass,12.0,True,161.0
Rafael Nadal,Hard,6.0,True,107.0
Rafael Nadal,Hard,6.0,True,93.0
Rafael Nadal,Hard,6.0,True,105.0
Rafael Nadal,Hard,5.0,True,95.0
Tomas Berdych,Hard,5.0,False,64.0
Rafael Nadal,Hard,2.0,True,86.0
